+--------------------+-----------------------------------------------------------------------------------------------------+
| section            | note                                                                                                |
+--------------------+-----------------------------------------------------------------------------------------------------+
| defiant_audit_note | This audit intentionally uses conservative schema columns so it works on the restored MSR baseline. |
+--------------------+-----------------------------------------------------------------------------------------------------+
+--------------------------+-------------------+----------------------+-------------+----------------+
| section                  | COLUMN_NAME       | COLUMN_TYPE          | IS_NULLABLE | COLUMN_DEFAULT |
+--------------------------+-------------------+----------------------+-------------+----------------+
| lootdrop_entries_columns | lootdrop_id       | int(11) unsigned     | NO          | 0              |
| lootdrop_entries_columns | item_id           | int(11)              | NO          | 0              |
| lootdrop_entries_columns | item_charges      | smallint(2) unsigned | NO          | 1              |
| lootdrop_entries_columns | equip_item        | tinyint(2) unsigned  | NO          | 0              |
| lootdrop_entries_columns | chance            | float                | NO          | 1              |
| lootdrop_entries_columns | disabled_chance   | float                | NO          | 0              |
| lootdrop_entries_columns | trivial_min_level | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | trivial_max_level | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | multiplier        | tinyint(2) unsigned  | NO          | 1              |
| lootdrop_entries_columns | npc_min_level     | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | npc_max_level     | smallint(5) unsigned | NO          | 0              |
+--------------------------+-------------------+----------------------+-------------+----------------+
+---------------------------+--------------+---------------------+-------------+----------------+
| section                   | COLUMN_NAME  | COLUMN_TYPE         | IS_NULLABLE | COLUMN_DEFAULT |
+---------------------------+--------------+---------------------+-------------+----------------+
| loottable_entries_columns | loottable_id | int(11) unsigned    | NO          | 0              |
| loottable_entries_columns | lootdrop_id  | int(11) unsigned    | NO          | 0              |
| loottable_entries_columns | multiplier   | tinyint(2) unsigned | NO          | 1              |
| loottable_entries_columns | droplimit    | tinyint(2) unsigned | NO          | 0              |
| loottable_entries_columns | mindrop      | tinyint(2) unsigned | NO          | 0              |
| loottable_entries_columns | probability  | float               | NO          | 100            |
+---------------------------+--------------+---------------------+-------------+----------------+
+----------------------+------------------------+----------------------+-------------+----------------+
| section              | COLUMN_NAME            | COLUMN_TYPE          | IS_NULLABLE | COLUMN_DEFAULT |
+----------------------+------------------------+----------------------+-------------+----------------+
| merchantlist_columns | merchantid             | int(11)              | NO          | 0              |
| merchantlist_columns | slot                   | int(11) unsigned     | NO          | 0              |
| merchantlist_columns | item                   | int(11)              | NO          | 0              |
| merchantlist_columns | faction_required       | smallint(6)          | NO          | -100           |
| merchantlist_columns | level_required         | tinyint(3) unsigned  | NO          | 0              |
| merchantlist_columns | min_status             | tinyint(3) unsigned  | NO          | 0              |
| merchantlist_columns | max_status             | tinyint(3) unsigned  | NO          | 255            |
| merchantlist_columns | alt_currency_cost      | smallint(5) unsigned | NO          | 0              |
| merchantlist_columns | classes_required       | int(11)              | NO          | 65535          |
| merchantlist_columns | probability            | int(3)               | NO          | 100            |
| merchantlist_columns | bucket_name            | varchar(100)         | NO          | ''             |
| merchantlist_columns | bucket_value           | varchar(100)         | NO          | ''             |
| merchantlist_columns | bucket_comparison      | tinyint(3) unsigned  | YES         | 0              |
| merchantlist_columns | min_expansion          | tinyint(4)           | NO          | -1             |
| merchantlist_columns | max_expansion          | tinyint(4)           | NO          | -1             |
| merchantlist_columns | content_flags          | varchar(100)         | YES         | NULL           |
| merchantlist_columns | content_flags_disabled | varchar(100)         | YES         | NULL           |
+----------------------+------------------------+----------------------+-------------+----------------+
+--------------------+-------------+
| section            | count_value |
+--------------------+-------------+
| defiant_item_count |         417 |
+--------------------+-------------+
+----------------------+-------+--------------------------------------+----------+---------+-------+---------+----------+----------+--------+--------+
| section              | id    | Name                                 | itemtype | classes | races | slots   | reqlevel | reclevel | nodrop | norent |
| defiant_lootdrop_entries |      176432 |   50504 | Crude Defiant Stone Fragment         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50505 | Crude Defiant Turquoise              |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50506 | Crude Defiant Mace                   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50507 | Crude Defiant Club                   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50508 | Crude Defiant Shortsword             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50509 | Crude Defiant Axe                    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50510 | Crude Defiant Dagger                 |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50511 | Crude Defiant Spear                  |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50512 | Crude Defiant Fists                  |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50513 | Crude Defiant Quarterstaff           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50514 | Crude Defiant Greatspear             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50515 | Crude Defiant Greatsword             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50516 | Crude Defiant Bow                    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50517 | Crude Defiant Spiked Shield          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50518 | Crude Defiant Buckler                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50033 | Simple Defiant Plate Bracer          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50034 | Simple Defiant Plate Gauntlets       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50035 | Simple Defiant Plate Boots           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50036 | Simple Defiant Plate Helm            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50037 | Simple Defiant Plate Vambraces       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50038 | Simple Defiant Plate Greaves         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50039 | Simple Defiant Breastplate           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50040 | Simple Defiant Chain Bracer          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50041 | Simple Defiant Chain Gauntlets       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50042 | Simple Defiant Chain Boots           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50043 | Simple Defiant Chain Coif            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50044 | Simple Defiant Chain Sleeves         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50045 | Simple Defiant Chain Leggings        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50046 | Simple Defiant Chain Tunic           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50047 | Simple Defiant Leather Bracer        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50048 | Simple Defiant Leather Gloves        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50049 | Simple Defiant Leather Boots         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50050 | Simple Defiant Leather Cap           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50051 | Simple Defiant Leather Sleeves       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50052 | Simple Defiant Leather Trousers      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50053 | Simple Defiant Leather Tunic         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50054 | Simple Defiant Cloth Wristwrap       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50055 | Simple Defiant Cloth Gloves          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50056 | Simple Defiant Cloth Sandals         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50057 | Simple Defiant Cloth Cap             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50058 | Simple Defiant Cloth Sleeves         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50059 | Simple Defiant Cloth Pantaloons      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50060 | Simple Defiant Cloth Robe            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50519 | Simple Defiant Alexandrite Shard     |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50520 | Simple Defiant Bluestone             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50521 | Simple Defiant Jasper                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50522 | Simple Defiant Garnet                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50523 | Simple Defiant Hammer                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50524 | Simple Defiant Wand                  |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50525 | Simple Defiant Shortsword            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50526 | Simple Defiant Bastard Sword         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50527 | Simple Defiant Claw-dagger           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50528 | Simple Defiant Dagger                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50529 | Simple Defiant Ulak                  |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50530 | Simple Defiant Twisted Staff         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50531 | Simple Defiant Spear                 |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50532 | Simple Defiant Greataxe              |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50533 | Simple Defiant Bow                   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50534 | Simple Defiant Kite Shield           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176433 |   50535 | Simple Defiant Wooden Shield         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50061 | Rough Defiant Plate Bracer           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50062 | Rough Defiant Plate Gauntlets        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50063 | Rough Defiant Plate Boots            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50064 | Rough Defiant Plate Helm             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50065 | Rough Defiant Plate Vambraces        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50066 | Rough Defiant Plate Greaves          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50067 | Rough Defiant Breastplate            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50068 | Rough Defiant Chain Bracer           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50069 | Rough Defiant Chain Gauntlets        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50070 | Rough Defiant Chain Boots            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50071 | Rough Defiant Chain Coif             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50072 | Rough Defiant Chain Sleeves          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50073 | Rough Defiant Chain Leggings         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50074 | Rough Defiant Chain Tunic            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50075 | Rough Defiant Leather Bracer         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50076 | Rough Defiant Leather Gloves         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50077 | Rough Defiant Leather Boots          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50078 | Rough Defiant Leather Cap            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50079 | Rough Defiant Leather Sleeves        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50080 | Rough Defiant Leather Trousers       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50081 | Rough Defiant Leather Tunic          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50082 | Rough Defiant Cloth Wristwrap        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50083 | Rough Defiant Cloth Gloves           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50084 | Rough Defiant Cloth Sandals          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50085 | Rough Defiant Cloth Cap              |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50086 | Rough Defiant Cloth Sleeves          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50087 | Rough Defiant Cloth Pantaloons       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50088 | Rough Defiant Cloth Robe             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50536 | Rough Defiant Nihilite Shard         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50537 | Rough Defiant Trillion Amethyst      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50540 | Rough Defiant Hammer                 |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50541 | Rough Defiant Scepter                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50542 | Rough Defiant Shortsword             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50543 | Rough Defiant Longsword              |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50544 | Rough Defiant Stone Dagger           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50545 | Rough Defiant Serrated Dagger        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50546 | Rough Defiant Knuckle Dusters        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50547 | Rough Defiant Spiked Staff           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50548 | Rough Defiant Trident                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50549 | Rough Defiant Halberd                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50550 | Rough Defiant Bow                    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50551 | Rough Defiant Chitin Shield          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50552 | Rough Defiant Round Shield           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176434 |   50553 | Rough Defiant Charm                  |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50089 | Ornate Defiant Plate Bracer          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50090 | Ornate Defiant Plate Gauntlets       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50091 | Ornate Defiant Plate Boots           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50092 | Ornate Defiant Plate Helm            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50093 | Ornate Defiant Plate Vambraces       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50094 | Ornate Defiant Plate Greaves         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50095 | Ornate Defiant Breastplate           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50096 | Ornate Defiant Chain Bracer          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50097 | Ornate Defiant Chain Gauntlets       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50098 | Ornate Defiant Chain Boots           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50099 | Ornate Defiant Chain Coif            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50100 | Ornate Defiant Chain Sleeves         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50101 | Ornate Defiant Chain Leggings        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50102 | Ornate Defiant Chain Tunic           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50103 | Ornate Defiant Leather Bracer        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50104 | Ornate Defiant Leather Gloves        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50105 | Ornate Defiant Leather Boots         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50106 | Ornate Defiant Leather Cap           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50107 | Ornate Defiant Leather Sleeves       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50108 | Ornate Defiant Leather Trousers      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50109 | Ornate Defiant Leather Tunic         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50110 | Ornate Defiant Cloth Wristwrap       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50111 | Ornate Defiant Cloth Gloves          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50112 | Ornate Defiant Cloth Sandals         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50113 | Ornate Defiant Cloth Cap             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50114 | Ornate Defiant Cloth Sleeves         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50115 | Ornate Defiant Cloth Pantaloons      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50116 | Ornate Defiant Cloth Robe            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50554 | Ornate Defiant Harmonagate           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50555 | Ornate Defiant Geode                 |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50556 | Ornate Defiant Bone Sledgehammer     |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50557 | Ornate Defiant Scepter               |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50558 | Ornate Defiant Longsword             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50559 | Ornate Defiant Gladius               |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50560 | Ornate Defiant Rapier                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50561 | Ornate Defiant Dagger                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50562 | Ornate Defiant Orb                   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50563 | Ornate Defiant Skullstaff            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50564 | Ornate Defiant Harpoon               |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50565 | Ornate Defiant Scythe                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50566 | Ornate Defiant Bow                   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50567 | Ornate Defiant Skullshield           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50568 | Ornate Defiant Glowing Shield        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176435 |   50569 | Ornate Defiant Charm                 |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50117 | Flawed Defiant Plate Bracer          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50118 | Flawed Defiant Plate Gauntlets       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50119 | Flawed Defiant Plate Boots           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50120 | Flawed Defiant Plate Helm            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50121 | Flawed Defiant Plate Vambraces       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50122 | Flawed Defiant Plate Greaves         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50123 | Flawed Defiant Breastplate           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50124 | Flawed Defiant Chain Bracer          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50125 | Flawed Defiant Chain Gauntlets       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50126 | Flawed Defiant Chain Boots           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50127 | Flawed Defiant Chain Coif            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50128 | Flawed Defiant Chain Sleeves         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50129 | Flawed Defiant Chain Leggings        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50130 | Flawed Defiant Chain Tunic           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50131 | Flawed Defiant Leather Bracer        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50132 | Flawed Defiant Leather Gloves        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50133 | Flawed Defiant Leather Boots         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50134 | Flawed Defiant Leather Cap           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50135 | Flawed Defiant Leather Sleeves       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50136 | Flawed Defiant Leather Trousers      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50137 | Flawed Defiant Leather Tunic         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50138 | Flawed Defiant Silk Wristwrap        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50139 | Flawed Defiant Silk Gloves           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50140 | Flawed Defiant Silk Sandals          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50141 | Flawed Defiant Silk Cap              |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50142 | Flawed Defiant Silk Sleeves          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50143 | Flawed Defiant Silk Pantaloons       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50144 | Flawed Defiant Silk Robe             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50570 | Flawed Defiant Quartz                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50571 | Flawed Defiant Amberstone            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50572 | Flawed Defiant Brawl Stick           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50573 | Flawed Defiant Mace                  |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50574 | Flawed Defiant Longsword             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50575 | Flawed Defiant Shortsword            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50576 | Flawed Defiant Glass Shard           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50577 | Flawed Defiant Dagger                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50578 | Flawed Defiant Orb                   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50579 | Flawed Defiant Quarterstaff          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50580 | Flawed Defiant Lance                 |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50581 | Flawed Defiant Emeraldblade          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50582 | Flawed Defiant Longbow               |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50583 | Flawed Defiant Scale Shield          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50584 | Flawed Defiant Carapace              |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176436 |   50585 | Flawed Defiant Charm                 |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50145 | Intricate Defiant Plate Bracer       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50146 | Intricate Defiant Plate Wristguard   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50147 | Intricate Defiant Plate Wristband    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50148 | Intricate Defiant Plate Gauntlets    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50149 | Intricate Defiant Plate Boots        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50150 | Intricate Defiant Plate Helm         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50151 | Intricate Defiant Plate Vambraces    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50152 | Intricate Defiant Plate Greaves      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50153 | Intricate Defiant Breastplate        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50154 | Intricate Defiant Chain Bracer       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50155 | Intricate Defiant Chain Wristguard   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50156 | Intricate Defiant Chain Gauntlets    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50157 | Intricate Defiant Chain Boots        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50158 | Intricate Defiant Chain Coif         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50159 | Intricate Defiant Chain Sleeves      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50160 | Intricate Defiant Chain Leggings     |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50161 | Intricate Defiant Chain Tunic        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50162 | Intricate Defiant Leather Bracer     |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50163 | Intricate Defiant Leather Wristguard |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50164 | Intricate Defiant Leather Gloves     |            1 |          1 |      0 |               1 |
